question_image,correct_answer,explanation
https://www.indiabix.com/_files/images/puzzles/10-1-q-9.png,M,"Working in rows, add together the numerical values of the left and right hand letters to give the numerical value of the central letter."
https://www.indiabix.com/_files/images/puzzles/10-1-q-10.png,O,"In each segment of the diagram are a pair of letters, one of which is the same distance from the start of the alphabet as the other is from the end."
https://www.indiabix.com/_files/images/puzzles/10-1-q-14.png,K,The numerical values of the letters in opposite segments of the circle always add up to 17.
https://www.indiabix.com/_files/images/puzzles/10-1-q-18.png,K,"As you move down, the numerical value of the letters follows the sequence of Prime Numbers."
https://www.indiabix.com/_files/images/puzzles/10-1-q-22.png,A,"Writing each letter as its numerical value and working in rows, add the top 2 digit number to the bottom 2 digit number to give the 3 digit result in the centre."
https://www.indiabix.com/_files/images/puzzles/10-1-q-24.png,G,The numerical values of the letters in each row add up to 26 each time.
https://www.indiabix.com/_files/images/puzzles/10-1-q-25.png,W,"Starting at the top left and moving down, then right one column and up etc in a snakes and ladders pattern, letters move through the alphabet 4 letters at a time."
https://www.indiabix.com/_files/images/puzzles/10-1-q-30.png,B,"In each row, add the numerical value of the left and right hand letters together and write the letter with the reverse alphabetical value in the centre."
https://www.indiabix.com/_files/images/puzzles/10-2-q-1.png,T,"Starting at F and moving anti-clockwise, letters move through the alphabet in steps of 2, 3, 4, 5 etc."
https://www.indiabix.com/_files/images/puzzles/10-1-q-9.png,M,"Working in rows, add together the numerical values of the left and right hand letters to give the numerical value of the central letter."
https://www.indiabix.com/_files/images/puzzles/10-1-q-10.png,O,"In each segment of the diagram are a pair of letters, one of which is the same distance from the start of the alphabet as the other is from the end."
https://www.indiabix.com/_files/images/puzzles/10-1-q-14.png,K,The numerical values of the letters in opposite segments of the circle always add up to 17.
https://www.indiabix.com/_files/images/puzzles/10-2-q-6.png,P,"Starting at the top left circle, and moving right, then down one row and moving left,  in a snakes and ladders pattern, letters move through the alphabet in steps of 2, 3 and 4, repeating this pattern all the way down."
https://www.indiabix.com/_files/images/puzzles/10-2-q-11.png,1,"Working from left to right, letters in corresponding segments of the circles move through the alphabet in steps of 2, 3 and 4, with their relative positions moving one place clockwise at each step."
https://www.indiabix.com/_files/images/puzzles/10-2-q-13.png,V,"Starting at the top left, and moving anti-clockwise around the figure, letters advance through the alphabet 5 letters at a time."
https://www.indiabix.com/_files/images/puzzles/10-2-q-17.png,E,"Using the numerical value of each letter, in each column, the value of the central letter equals the sum of the values of the top and bottom letters."
https://www.indiabix.com/_files/images/puzzles/10-2-q-20.png,N,"The alphabetical value of the letters in the left hand column follows through the sequence of Prime Numbers, with the letters in the right hand column representing the corresponding reverse alphabetical values."
https://www.indiabix.com/_files/images/puzzles/10-2-q-21.png,I,"Starting on the left, and moving downwards in columns from left to right, letters are written in alphabetical sequence, in steps of 4 letters at a time."
https://www.indiabix.com/_files/images/puzzles/10-2-q-23.png,B,"In each diagram, letters are written in sequence, starting in the top left circle and moving clockwise around the other 3 outer circles, in steps given by the numerical value of the central letter each time."
https://www.indiabix.com/_files/images/puzzles/10-2-q-25.png,U,"Starting on the left, and moving along the line to the right, letters follow the alphabetic sequence, in steps of 1,2,3 and then 4, before repeating the sequence."
https://www.indiabix.com/_files/images/puzzles/10-2-q-28.png,2,"Splitting the large square into quarters, each quarter features the same pattern of letters."
https://www.indiabix.com/_files/images/puzzles/10-2-q-29.png,Y,"Starting in the top left circle, and following a W pattern through the others, letters in corresponding segments of the circles follow the alphabetical sequence in steps of 4 letters."
https://www.indiabix.com/_files/images/puzzles/10-2-q-30.png,W,"Working from left to right, letters move forwards 7 places, then back 2. Repeat this sequence until the end."
https://www.indiabix.com/_files/images/puzzles/10-3-q-4.png,K,"In each row, the product of the left and right hand numbers equals the sum of the numerical values of the three letters."
https://www.indiabix.com/_files/images/puzzles/10-3-q-5.png,H,"Start at the top and move down, taking single letters or pairs of letters that appear on the same horizontal line. The sum of the numerical values of the  letters in each line increases by 2 as you  go down, from 18 to 26."
https://www.indiabix.com/_files/images/puzzles/10-3-q-7.png,F,"In each star shape, the sum of the numerical values of the letters bounded by one triangle is equal to that of the other triangle."
https://www.indiabix.com/_files/images/puzzles/10-3-q-9.png,E,"In each stick-man diagram, start on the left foot and move around the other limbs in a clockwise direction. The letters advance through the alphabet in steps given by the numerical value of the letter on the head of the diagram."
https://www.indiabix.com/_files/images/puzzles/10-3-q-10.png,B,"Add together the numerical values of the letters in corresponding positions on the left and right hand triangles, and put the letter with this value in corresponding segments of the centre triangle."
https://www.indiabix.com/_files/images/puzzles/10-3-q-12.png,A,"Start on the centre left of the diagram, and move in a clockwise spiral towards the centre. Letters advance through the alphabet in steps of 2, 3, 4, etc."
https://www.indiabix.com/_files/images/puzzles/10-3-q-14.png,T,"Working through the diagram in columns, left to right, The sum of the numerical values of the letters in each column follows the sequence 17, 18, 19 and 20."
https://www.indiabix.com/_files/images/puzzles/10-3-q-17.png,Z,"Read the diagram as a whole grid of 4x4 squares. Starting on the bottom left square, move clockwise around the outside of the whole square, with letters written in sequence, skipping 4 letters at a time. Repeat this instruction for the small inner square."
https://www.indiabix.com/_files/images/puzzles/10-3-q-18.png,X,"Start at the top left and move in alternate boxes from left to right, then down one row and to the left, in a snakes and ladders pattern. Letters advance through the alphabet in steps of 2, 3, 4...8, before repeating this pattern."
https://www.indiabix.com/_files/images/puzzles/10-3-q-20.png,H,"In each row, the numerical value of the central letter equals the difference between the sum of the numerical values of the two left hand letters and the sum of the numerical values of the two right hand letters."
https://www.indiabix.com/_files/images/puzzles/10-3-q-22.png,C,"Start on the far left of the diagram and move around it in a clockwise direction. Letters advance through the alphabet in steps of 8 then 9, repeating this pattern all the way around."
https://www.indiabix.com/_files/images/puzzles/10-3-q-25.png,E,"Working through the diagram in rows, from top to bottom, the sum of the numerical values of the letters in each row follows the sequence 15, 20, 25, 30, 35"
https://www.indiabix.com/_files/images/puzzles/10-4-q-2.png,I,"Letters are arranged in each square in alphabetical order, skipping 5 letters at a time. The letter bounded by the central square carries on this sequence, but using the reverse alphabetical value."
https://www.indiabix.com/_files/images/puzzles/10-4-q-6.png,O,"In each row, letters follow the alphabetic sequence, in steps of 4 letters each  time for the first row, 5 letters for the second, then 6, 7 etc."
